Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-09-07T12:..:..........-04:00S03785,2025-09-07 12:..:.......,H3113,PAQXOS 5.1,phar-brunaughuser,,Run4_baseline_INHALER_Rep.,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,5.66701591,0.67082039,0.00887995
0.90000000,0.22668064,1.00000000,16.99146920,0.99498744,0.03899354
1.10000000,0.56651002,1.20000000,25.11388319,1.19582607,0.06923129
1.30000000,1.06878768,1.40000000,32.10764338,1.39642400,0.10332655
1.50000000,1.71094055,1.65000000,38.95040386,1.64316767,0.14757435
1.80000000,2.87945267,2.00000000,46.27193290,1.98997487,0.21237792
2.20000000,4.73032998,2.40000000,52.35792427,2.39165215,0.28866957
2.60000000,6.82464695,2.85000000,56.88677975,2.83901391,0.37235248
3.10000000,9.66898594,3.40000000,60.05396005,3.38673884,0.46892715
3.70000000,13.27222355,4.00000000,61.57589024,3.98873414,0.56606993
4.30000000,16.96677696,4.65000000,61.86674909,4.63680925,0.66115573
5.00000000,21.29744940,5.50000000,61.22623520,5.47722558,0.77324162
6.00000000,27.42007292,6.75000000,59.44295887,6.70820393,0.92007457
7.50000000,36.33651675,8.25000000,56.21325645,8.21583836,1.06489717
9.00000000,44.76850521,9.75000000,51.94834959,9.72111105,1.16394714
10.50000000,52.56075765,11.50000000,46.17830007,11.45643924,1.21970060
12.50000000,61.79641767,13.75000000,38.71885911,13.69306394,1.22247568
15.00000000,71.47613244,16.50000000,30.68707793,16.43167673,1.16266463
18.00000000,80.68225582,19.50000000,22.89773374,19.44222210,1.02608656
21.00000000,87.55157594,23.00000000,15.27641246,22.91287847,0.80698724
25.00000000,93.66214093,27.50000000,8.01134552,27.38612788,0.50588655
30.00000000,97.66781369,33.00000000,3.17168791,32.86335345,0.24033630
36.00000000,99.57082643,39.50000000,0.58995538,39.34463115,0.05351696
43.00000000,99.98379520,47.00000000,0.02025600,46.82947790,0.00218683
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
