Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-07-07T11:59:06.7984311-04:00S03785,2025-07-07 11:59:06.7984,H3113,PAQXOS 5.1,"Chen, Ziting",,LYS_Sugars_Pre_IGC_Run9_Rep1,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,0.58003588,0.67082039,0.00090889
0.90000000,0.02320144,1.00000000,4.52322772,0.99498744,0.01038031
1.10000000,0.11366599,1.20000000,25.00426784,1.19582607,0.06892912
1.30000000,0.61375135,1.40000000,99.71475115,1.39642400,0.32089496
1.50000000,2.60804637,1.65000000,186.40617202,1.64316767,0.70625122
1.80000000,8.20023153,2.00000000,258.06413979,1.98997487,1.18445723
2.20000000,18.52279712,2.40000000,292.93440358,2.39165215,1.61506112
2.60000000,30.24017327,2.85000000,292.27656882,2.83901391,1.91309660
3.10000000,44.85400171,3.40000000,259.56260931,3.38673884,2.02677647
3.70000000,60.42775826,4.00000000,196.04117954,3.98873414,1.80221539
4.30000000,72.19022904,4.65000000,125.29424918,4.63680925,1.33899085
5.00000000,80.96082648,5.50000000,63.49774719,5.47722558,0.80192912
6.00000000,87.31060120,6.75000000,28.78293756,6.70820393,0.44551027
7.50000000,91.62804183,8.25000000,21.23523263,8.21583836,0.40227769
9.00000000,94.81332673,9.75000000,16.79118501,9.72111105,0.37622084
10.50000000,97.33200448,11.50000000,8.76275804,11.45643924,0.23144943
12.50000000,99.08455609,13.75000000,3.36867635,13.69306394,0.10635967
15.00000000,99.92672517,16.50000000,0.24424943,16.43167673,0.00925406
18.00000000,100.00000000,19.50000000,0.00000000,19.44222210,0.00000000
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
