Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-07-02T16:12:11.7044194-04:00S03785,2025-07-02 16:12:11.7044,H3113,PAQXOS 5.1,"Romero-Gonzalez, Mariana",,LYS_Sugars_Pre_IGC_Run7_Rep2,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,0.58042960,0.67082039,0.00090951
0.90000000,0.02321718,1.00000000,5.85119869,0.99498744,0.01342785
1.10000000,0.14024116,1.20000000,40.05284114,1.19582607,0.11041343
1.30000000,0.94129798,1.40000000,106.27784069,1.39642400,0.34201583
1.50000000,3.06685479,1.65000000,161.92869571,1.64316767,0.61351155
1.80000000,7.92471567,2.00000000,207.81958820,1.98997487,0.95384587
2.20000000,16.23749919,2.40000000,233.29991420,2.39165215,1.28627302
2.60000000,25.56949576,2.85000000,233.58665822,2.83901391,1.52894172
3.10000000,37.24882867,3.40000000,214.96215526,3.38673884,1.67851695
3.70000000,50.14655799,4.00000000,179.82713037,3.98873414,1.65315890
4.30000000,60.93618581,4.65000000,137.25066261,4.63680925,1.46676629
5.00000000,70.54373219,5.50000000,90.36014116,5.47722558,1.14118110
6.00000000,79.57974631,6.75000000,50.02776450,6.70820393,0.77434358
7.50000000,87.08391098,8.25000000,30.68680032,8.21583836,0.58132705
9.00000000,91.68693103,9.75000000,21.65089285,9.72111105,0.48510675
10.50000000,94.93456496,11.50000000,13.41457376,11.45643924,0.35431715
12.50000000,97.61747971,13.75000000,6.20652451,13.69306394,0.19595942
15.00000000,99.16911084,16.50000000,2.14017409,16.43167673,0.08108640
18.00000000,99.81116306,19.50000000,0.62945645,19.44222210,0.02820702
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
