Identifier,Time,System ID,Measurement software,Operator,SOP,Product,Medium,Measuring range,Dispersing system,Dispersing system subtype,Feeder,Evaluation,Calculation software,User,Lot
2025-07-02T16:16:19.5259645-04:00S03785,2025-07-02 16:16:19.5259,H3113,PAQXOS 5.1,"Romero-Gonzalez, Mariana",,LYS_Sugars_Pre_IGC_Run7_Rep3,,R3,INHALER,INHALER2000,,FREE,PAQXOS 5.1,Mariana,Spray dried ASLP 16:1 COL-NIC in pH 5.8
xo / µm,Q₃ / %,xm / µm,q₃ / mm⁻¹,xm / µm,q₃ lg
0.50000000,0.00000000,0.70000000,0.49153841,0.67082039,0.00077022
0.90000000,0.01966154,1.00000000,5.11178381,0.99498744,0.01173098
1.10000000,0.12189721,1.20000000,35.91003591,1.19582607,0.09899299
1.30000000,0.84009793,1.40000000,100.62649935,1.39642400,0.32382909
1.50000000,2.85262792,1.65000000,156.08517980,1.64316767,0.59137177
1.80000000,7.53518331,2.00000000,201.95762974,1.98997487,0.92694078
2.20000000,15.61348850,2.40000000,227.75104390,2.39165215,1.25567994
2.60000000,24.72353026,2.85000000,228.58390696,2.83901391,1.49619621
3.10000000,36.15272561,3.40000000,211.26636686,3.38673884,1.64965864
3.70000000,48.82870762,4.00000000,177.78807065,3.98873414,1.63441373
4.30000000,59.49599186,4.65000000,136.77890795,4.63680925,1.46172476
5.00000000,69.07051541,5.50000000,91.45155610,5.47722558,1.15496485
6.00000000,78.21567102,6.75000000,52.54415262,6.70820393,0.81329294
7.50000000,86.09729391,8.25000000,33.97369488,8.21583836,0.64359359
9.00000000,91.19334815,9.75000000,24.68947509,9.72111105,0.55318878
10.50000000,94.89676941,11.50000000,15.24729563,11.45643924,0.40272456
12.50000000,97.94622854,13.75000000,6.34971698,13.69306394,0.20048046
15.00000000,99.53365778,16.50000000,1.39398309,16.43167673,0.05281490
18.00000000,99.95185271,19.50000000,0.16049098,19.44222210,0.00719187
21.00000000,100.00000000,23.00000000,0.00000000,22.91287847,0.00000000
25.00000000,100.00000000,27.50000000,0.00000000,27.38612788,0.00000000
30.00000000,100.00000000,33.00000000,0.00000000,32.86335345,0.00000000
36.00000000,100.00000000,39.50000000,0.00000000,39.34463115,0.00000000
43.00000000,100.00000000,47.00000000,0.00000000,46.82947790,0.00000000
51.00000000,100.00000000,56.00000000,0.00000000,55.77633907,0.00000000
61.00000000,100.00000000,67.00000000,0.00000000,66.73080248,0.00000000
73.00000000,100.00000000,80.00000000,0.00000000,79.69316156,0.00000000
87.00000000,100.00000000,95.00000000,0.00000000,94.66255860,0.00000000
103.00000000,100.00000000,113.00000000,0.00000000,112.55665240,0.00000000
123.00000000,100.00000000,135.00000000,0.00000000,134.46560899,0.00000000
147.00000000,100.00000000,161.00000000,0.00000000,160.39014932,0.00000000
175.00000000,100.00000000,,,,
